"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","Gate time (ns)","Operational"
"68","49.58221228051922","84.87818211430367","0.005099999999999993","0.008","0.0022","1560","0.0002568105950232713","0.0002568105950232713","0","0.0002568105950232713","0.0002568105950232713","68_67:0.004594162408597696;68_69:0.0026835070722388","68_67:84;68_69:84","true"
"69","172.29876406694345","73.2580744040481","0.015800000000000036","0.0196","0.012","1560","0.00023388555341689372","0.00023388555341689372","0","0.00023388555341689372","0.00023388555341689372","69_78:0.0029582990449511792;69_68:0.0026835070722388;69_70:0.0031156435449146425","69_78:84;69_68:84;69_70:84","true"
"70","105.92542498685849","93.38290808089617","0.005199999999999982","0.009","0.0014","1560","0.00027159980416808946","0.00027159980416808946","0","0.00027159980416808946","0.00027159980416808946","70_69:0.0031156435449146425;70_71:0.003574462125409239","70_69:84;70_71:84","true"
"71","282.7747777553214","147.1330019285908","0.012299999999999978","0.019","0.0056","1560","0.0002873881494917078","0.0002873881494917078","0","0.0002873881494917078","0.0002873881494917078","71_72:0.10426335311658759;71_58:0.002018291884493373;71_70:0.003574462125409239","71_72:84;71_58:84;71_70:84","true"
"72","74.84742196085122","79.2421539323702","0.009199999999999986","0.0164","0.002","1560","0.00019264785735685896","0.00019264785735685896","0","0.00019264785735685896","0.00019264785735685896","72_73:0.10063228745962623;72_71:0.10426335311658759","72_73:84;72_71:84","true"
"73","137.94671607928953","73.47900104708617","0.010600000000000054","0.0154","0.0058","1560","0.00024824979688630643","0.00024824979688630643","0","0.00024824979688630643","0.00024824979688630643","73_72:0.10063228745962623;73_74:0.0022026885724487355;73_79:0.0029044889919538353","73_72:84;73_74:84;73_79:84","true"
"74","120.40573692328799","115.02689965725874","0.007800000000000029","0.0112","0.0044","1560","0.00038351143113885065","0.00038351143113885065","0","0.00038351143113885065","0.00038351143113885065","74_73:0.0022026885724487355;74_75:0.005612981714618687","74_73:84;74_75:84","true"
"75","208.37073413148147","175.50137930364951","0.0037000000000000366","0.006","0.0014","1560","0.00030922039767066666","0.00030922039767066666","0","0.00030922039767066666","0.00030922039767066666","75_59:0.008467700547114793;75_74:0.005612981714618687","75_59:84;75_74:84","true"
"76","125.47153353043316","85.97422917425253","0.01419999999999999","0.0172","0.0112","1560","0.00043739450698235916","0.00043739450698235916","0","0.00043739450698235916","0.00043739450698235916","76_81:0.007648535766676956;76_61:0.00323360980113116","76_81:84;76_61:84","true"
"77","137.92379970534265","71.64802817851641","0.009800000000000031","0.0112","0.0084","1560","0.0002680777899260443","0.0002680777899260443","0","0.0002680777899260443","0.0002680777899260443","77_85:0.0026975274358122248;77_65:0.004055391238098283","77_85:84;77_65:84","true"
"78","50.59978710932268","69.71911475904189","0.023399999999999976","0.0272","0.0196","1560","0.00020722281335348923","0.00020722281335348923","0","0.00020722281335348923","0.00020722281335348923","78_69:0.0029582990449511792;78_89:0.003779716195629501","78_69:84;78_89:84","true"
"79","129.25201879850795","45.125270141166226","0.0047000000000000375","0.0072","0.0022","1560","0.00020598672885750375","0.00020598672885750375","0","0.00020598672885750375","0.00020598672885750375","79_93:0.0032715029251892125;79_73:0.0029044889919538353","79_93:84;79_73:84","true"
"80","159.04788711929027","201.1059958925784","0.0037000000000000366","0.0066","0.0008","1560","0.00020796799194968335","0.00020796799194968335","0","0.00020796799194968335","0.00020796799194968335","80_81:0.007948693965642684","80_81:84","true"
"81","193.59724420702062","19.52535144492267","0.010399999999999965","0.013","0.0078","1560","0.00019661776419032287","0.00019661776419032287","0","0.00019661776419032287","0.00019661776419032287","81_80:0.007948693965642684;81_82:0.007622543882285032;81_76:0.007648535766676956","81_80:84;81_82:84;81_76:84","true"
"82","125.69020774222012","48.249818829023894","0.0030999999999999917","0.0056","0.0006","1560","0.00015301591542117937","0.00015301591542117937","0","0.00015301591542117937","0.00015301591542117937","82_81:0.007622543882285032;82_83:0.008052614336604064","82_81:84;82_83:84","true"
"83","166.28400577262144","50.549430533639644","0.0826","0.0698","0.0954","1560","0.00036354852500533206","0.00036354852500533206","0","0.00036354852500533206","0.00036354852500533206","83_96:0.0028052681782211875;83_82:0.008052614336604064;83_84:0.0033683780917916906","83_96:84;83_82:84;83_84:84","true"
"84","133.63754434566584","144.0394613327577","0.00770000000000004","0.0154","0","1560","0.00033741780014897937","0.00033741780014897937","0","0.00033741780014897937","0.00033741780014897937","84_83:0.0033683780917916906;84_85:0.004069819836045707","84_83:84;84_85:84","true"
"85","166.45651627638705","30.516070296022647","0.011299999999999977","0.0124","0.0102","1560","0.0002460168489554786","0.0002460168489554786","0","0.0002460168489554786","0.0002460168489554786","85_77:0.0026975274358122248;85_86:0.0028347931046289743;85_84:0.004069819836045707","85_77:84;85_86:84;85_84:84","true"
"86","74.50295018148363","86.2994656683448","0.0036000000000000476","0.0066","0.0006","1560","0.00024184722968567085","0.00024184722968567085","0","0.00024184722968567085","0.00024184722968567085","86_85:0.0028347931046289743;86_87:0.00209860779463078","86_85:84;86_87:84","true"
"87","219.21298400206356","154.7802457832528","0.020399999999999974","0.0296","0.0112","1560","0.00021282510277067826","0.00021282510277067826","0","0.00021282510277067826","0.00021282510277067826","87_86:0.00209860779463078;87_88:0.001948649053790441;87_97:0.0037498773571087995","87_86:84;87_88:84;87_97:84","true"
"88","61.33510799340792","157.05586712796224","0.005800000000000027","0.0104","0.0012","1560","0.00029704225698485665","0.00029704225698485665","0","0.00029704225698485665","0.00029704225698485665","88_87:0.001948649053790441;88_89:0.002846297921042351","88_87:84;88_89:84","true"
"89","108.22460817145385","92.08876782101272","0.01629999999999998","0.0206","0.012","1560","0.000401365933723525","0.000401365933723525","0","0.000401365933723525","0.000401365933723525","89_90:0.0060547898163636205;89_88:0.002846297921042351;89_78:0.003779716195629501","89_90:84;89_88:84;89_78:84","true"
"90","139.1204668673339","136.46196001584542","0.0043999999999999595","0.0076","0.0012","1560","0.00019420526667172455","0.00019420526667172455","0","0.00019420526667172455","0.00019420526667172455","90_89:0.0060547898163636205;90_91:0.0032951212314064338","90_89:84;90_91:84","true"
"91","190.84881776141606","15.7587086032501","0.02529999999999999","0.0382","0.0124","1560","0.00022830811719703052","0.00022830811719703052","0","0.00022830811719703052","0.00022830811719703052","91_98:0.0028671607349813333;91_90:0.0032951212314064338;91_92:0.002954512673357307","91_98:84;91_90:84;91_92:84","true"
"92","101.24708849132645","89.62924076493215","0.007800000000000029","0.0126","0.003","1560","0.00020870226277439207","0.00020870226277439207","0","0.00020870226277439207","0.00020870226277439207","92_91:0.002954512673357307;92_93:0.0020938401486244596","92_91:84;92_93:84","true"
"93","208.6899783317938","51.502966767428234","0.05259999999999998","0.0616","0.0436","1560","0.0003898367875033379","0.0003898367875033379","0","0.0003898367875033379","0.0003898367875033379","93_94:0.00889223121289695;93_79:0.0032715029251892125;93_92:0.0020938401486244596","93_94:84;93_79:84;93_92:84","true"
"94","98.92373750452495","7.146376142949375","0.02400000000000002","0.0228","0.0252","1560","0.0011439248682518647","0.0011439248682518647","0","0.0011439248682518647","0.0011439248682518647","94_93:0.00889223121289695;94_95:0.008783662499480344","94_93:84;94_95:84","true"
"95","91.79103434964712","40.64309968058714","0.038799999999999946","0.0436","0.034","1560","0.0002115718428330005","0.0002115718428330005","0","0.0002115718428330005","0.0002115718428330005","95_99:0.005791053801197821;95_94:0.008783662499480344","95_99:84;95_94:84","true"
"96","93.90348126154655","113.0241725907137","0.005199999999999982","0.0072","0.0032","1560","0.0002820307368031704","0.0002820307368031704","0","0.0002820307368031704","0.0002820307368031704","96_83:0.0028052681782211875;96_103:0.0030789527496126734","96_83:84;96_103:84","true"
"97","113.84320515267254","131.33319048336435","0.0046000000000000485","0.0086","0.0006","1560","0.00044072017670901837","0.00044072017670901837","0","0.00044072017670901837","0.00044072017670901837","97_87:0.0037498773571087995;97_107:0.002105585272671212","97_87:84;97_107:84","true"
"98","60.34895058854304","17.13803249497918","0.005199999999999982","0.0094","0.001","1560","0.0002529303688984764","0.0002529303688984764","0","0.0002529303688984764","0.0002529303688984764","98_91:0.0028671607349813333;98_111:0.00482735782380822","98_91:84;98_111:84","true"
"99","167.46632601351257","15.881861126740468","0.03300000000000003","0.0294","0.0366","1560","0.0005586886795941475","0.0005586886795941475","0","0.0005586886795941475","0.0005586886795941475","99_115:0.004211104205412597;99_95:0.005791053801197821","99_115:84;99_95:84","true"
"100","69.36218361952365","30.932531531468857","0.008299999999999974","0.0126","0.004","1560","0.0008282236881651469","0.0008282236881651469","0","0.0008282236881651469","0.0008282236881651469","100_101:0.0044716613911380265","100_101:84","true"
"101","48.44073074495973","33.177291490232314","0.05989999999999995","0.0648","0.055","1560","0.0005346325361739318","0.0005346325361739318","0","0.0005346325361739318","0.0005346325361739318","101_100:0.0044716613911380265;101_116:0.003767442225853762;101_102:0.005125697424158776","101_100:84;101_116:84;101_102:84","true"
"102","74.42593838699925","88.31231195076614","0.0050000000000000044","0.0078","0.0022","1560","0.0001757427991820925","0.0001757427991820925","0","0.0001757427991820925","0.0001757427991820925","102_101:0.005125697424158776;102_103:0.003030264530306137","102_101:84;102_103:104","true"
"103","184.52665320150044","213.36791652445467","0.006299999999999972","0.0104","0.0022","1560","0.00015652167722556706","0.00015652167722556706","0","0.00015652167722556706","0.00015652167722556706","103_104:0.0025481817579279253;103_96:0.0030789527496126734;103_102:0.003030264530306137","103_104:84;103_96:84;103_102:104","true"
"104","100.2732064465035","95.7008147944241","0.0043999999999999595","0.008","0.0008","1560","0.00019187156739610192","0.00019187156739610192","0","0.00019187156739610192","0.00019187156739610192","104_103:0.0025481817579279253;104_105:0.002703064827865642","104_103:84;104_105:84","true"
